,Date,Team,Acquired,Relinquished,Notes
0,2003-10-01,Sonics,,Nick Collison,partially dislocated left shoulder
1,2003-10-03,Pacers,,Jonathan Bender,arthroscopic surgery on left knee (out 4 weeks)
2,2003-10-04,Heat,,Caron Butler,arthroscopic surgery on left knee to remove loose debris (out 3-4 weeks)
3,2003-10-04,Suns,,Scott Williams,surgery on left thumb to repair ligaments (out 6 weeks)
4,2003-10-05,Rockets,,Maurice Taylor,dislocated left shoulder (out indefinitely)
5,2003-10-06,Pacers,,Anthony Johnson,spiral fracture of left ring finger (out 4-6 weeks)
6,2003-10-08,Cavaliers,,Dajuan Wagner,surgery on right knee to repair torn meniscus
7,2003-10-09,Pacers,,Austin Croshere,pulled left hamstring (out 2-4 weeks)
8,2003-10-10,Jazz,,Curtis Borchardt,fractured left index finger (out 4 weeks)
9,2003-10-13,Lakers,,Brian Cook,surgery on left ring finger to repair fracture dislocation (out 6+ weeks)
10,2003-10-14,Sonics,,Nick Collison,surgery on both shoulders to repair dislocation (out for season)
11,2003-10-15,Hornets,,Courtney Alexander,torn right Achilles tendon (out ~6 months)
12,2003-10-17,Hawks,,Obinna Ekezie,torn ACL in right knee (out indefinitely)
13,2003-10-20,Warriors,,Nick Van Exel,arthroscopic surgery on left knee (out indefinitely)
14,2003-10-22,Sonics,,Ray Allen,bone fragment in right ankle (out indefinitely)
15,2003-10-22,Wizards,,Jerry Stackhouse,arthroscopic surgery on right knee to remove scar tissue
16,2003-10-24,Hornets,,Jamal Mashburn,bone bruise in right knee (out 2 weeks)
17,2003-10-24,Timberwolves,,Troy Hudson,sprained right ankle (out indefinitely)
18,2003-10-25,Warriors,,Troy Murphy,torn plantar fascia in right foot (out 10 days)
19,2003-10-27,76ers,,Greg Buckner,placed on IL with strained left hamstring
20,2003-10-27,76ers,,Monty Williams,placed on IL with sore left knee
21,2003-10-27,76ers,,Todd MacCulloch,placed on IL with right foot neuropathy
22,2003-10-27,Blazers,,Travis Outlaw,placed on IL with patellar tendinitis in both knees
23,2003-10-27,Bucks,,Joel Przybilla,placed on IR with strained patellar tendon in right knee
24,2003-10-27,Bulls,,Jay Williams,placed on IR with injuries to fractured left pelvis & dislocated left knee
25,2003-10-27,Bulls,,Kirk Hinrich,placed on IR with viral illness
26,2003-10-27,Bulls,,Linton Johnson III,placed on IL with sprained right ankle
27,2003-10-27,Cavaliers,,Bruno Sundov,placed on IL with right Achilles tendinitis
28,2003-10-27,Cavaliers,,Dajuan Wagner,placed on IR with right knee effusion
29,2003-10-27,Cavaliers,,Ira Newble,placed on IL with right knee patella tendinitis
30,2003-10-27,Celtics,,Brandon Hunter,placed on IL with right Achilles tendinitis
31,2003-10-27,Celtics,,Chris Mills,placed on IR with right heel spurs
32,2003-10-27,Celtics,,Kendrick Perkins,placed on IR with bilateral infraptellar tendinitis
33,2003-10-27,Clippers,,Glen Rice ,placed on IL with hyperextended right knee
34,2003-10-27,Clippers,,Josh Moore,placed on IL with lower back spasms
35,2003-10-27,Clippers,,Olden Polynice,placed on IL with strained neck
36,2003-10-27,Grizzlies,,Dahntay Jones,placed on IL with sprained left ankle
37,2003-10-27,Grizzlies,,Ryan Humphrey,placed on IL with concussion
38,2003-10-27,Grizzlies,,Theron Smith,placed on IL with right knee tendinitis
39,2003-10-27,Hawks,,Dan Dickau,placed on IR with right heel tendinitis
40,2003-10-27,Hawks,,Obinna Ekezie,placed on IL with torn ACL in right knee
41,2003-10-27,Hawks,,Terrell Brandon,placed on IL with left knee injury
42,2003-10-27,Heat,,Caron Butler,placed on IL recovering from surgery on left knee
43,2003-10-27,Heat,,Rasual Butler,placed on IL with fractured finger in left hand
